Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Open Application,10,638,386,1110,1110,1429,349,1429,0.000%,.03370,0.03,0.02
Enter the Store,10,520,377,1059,1059,1110,355,1110,0.000%,.03370,0.07,0.03
Sign In,10,374,370,388,388,414,354,414,0.000%,.03312,0.06,0.03
Login,10,1164,1127,1249,1249,1341,1062,1341,0.000%,.03244,0.14,0.10
Select Fish,5,523,372,375,1129,1129,368,1129,0.000%,.02652,0.04,0.02
Search by PetName,5,384,382,397,408,408,359,408,0.000%,.01688,0.03,0.02
Select Product ID,5,375,368,370,424,424,357,424,0.000%,.02651,0.05,0.02
Select Item ID,5,369,376,377,385,385,342,385,0.000%,.02652,0.05,0.02
Select  Result,5,374,373,378,433,433,341,433,0.000%,.01687,0.03,0.01
Add to Cart,5,413,372,432,534,534,358,534,0.000%,.02651,0.06,0.02
Add to Cart ,5,379,377,388,412,412,359,412,0.000%,.01688,0.04,0.01
Proceed to checkout,5,678,373,1152,1156,1156,350,1156,0.000%,.02053,0.05,0.02
Continue,5,390,379,400,424,424,375,424,0.000%,.02052,0.04,0.03
Update Cart,5,497,388,416,934,934,361,934,0.000%,.01688,0.04,0.02
Confirm,5,372,376,381,384,384,353,384,0.000%,.02053,0.04,0.02
Proceed to Checkout,5,826,378,1210,1842,1842,344,1842,0.000%,.01680,0.04,0.01
Return to Main Menu,10,364,364,370,370,402,342,402,0.000%,.03242,0.06,0.03
Click Continue,5,388,385,399,415,415,367,415,0.000%,.01680,0.03,0.03
Sign Out,10,1210,1144,1364,1364,1787,1063,1787,0.000%,.03224,0.13,0.08
Click Confirm,5,435,392,503,533,533,371,533,0.000%,.01680,0.04,0.01
TOTAL,130,575,379,1152,1194,1787,341,1842,0.000%,.36796,0.82,0.44
